"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","2013-02",1.977924,
"USA","CPI","TOT","AGRWTH","M","2013-03",1.473896,
"USA","CPI","TOT","AGRWTH","M","2013-04",1.063085,
"USA","CPI","TOT","AGRWTH","M","2013-05",1.361965,
"USA","CPI","TOT","AGRWTH","M","2013-06",1.754417,
"USA","CPI","TOT","AGRWTH","M","2013-07",1.960682,
"USA","CPI","TOT","AGRWTH","M","2013-08",1.518368,
"USA","CPI","TOT","AGRWTH","M","2013-09",1.184925,
"USA","CPI","TOT","AGRWTH","M","2013-10",0.9636127,
"USA","CPI","TOT","AGRWTH","M","2013-11",1.237072,
"USA","CPI","TOT","AGRWTH","M","2013-12",1.501736,
"USA","CPI","TOT","AGRWTH","M","2014-01",1.578947,
"USA","CPI","TOT","AGRWTH","M","2014-02",1.126349,
"USA","CPI","TOT","AGRWTH","M","2014-03",1.512203,
"USA","CPI","TOT","AGRWTH","M","2014-04",1.952858,
"USA","CPI","TOT","AGRWTH","M","2014-05",2.127111,
"USA","CPI","TOT","AGRWTH","M","2014-06",2.072341,
"USA","CPI","TOT","AGRWTH","M","2014-07",1.992329,
"USA","CPI","TOT","AGRWTH","M","2014-08",1.699611,
"USA","CPI","TOT","AGRWTH","M","2014-09",1.657919,
"USA","CPI","TOT","AGRWTH","M","2014-10",1.66434,
"USA","CPI","TOT","AGRWTH","M","2014-11",1.322355,
"USA","CPI","TOT","AGRWTH","M","2014-12",0.7564933,
"USA","CPI","TOT","AGRWTH","M","2015-01",-0.08934832,
"USA","CPI","TOT","AGRWTH","M","2015-02",-0.0251298,
"USA","CPI","TOT","AGRWTH","M","2015-03",-0.07363739,
"USA","CPI","TOT","AGRWTH","M","2015-04",-0.1995174,
"USA","CPI","TOT","AGRWTH","M","2015-05",-0.03993275,
"USA","CPI","TOT","AGRWTH","M","2015-06",0.1237712,
"USA","CPI","TOT","AGRWTH","M","2015-07",0.1695698,
"USA","CPI","TOT","AGRWTH","M","2015-08",0.1950793,
"USA","CPI","TOT","AGRWTH","M","2015-09",-0.03612975,
"USA","CPI","TOT","AGRWTH","M","2015-10",0.1705744,
"USA","CPI","TOT","AGRWTH","M","2015-11",0.5017976,
"USA","CPI","TOT","AGRWTH","M","2015-12",0.7295198,
"USA","CPI","TOT","AGRWTH","M","2016-01",1.373087,
"USA","CPI","TOT","AGRWTH","M","2016-02",1.0178,
"USA","CPI","TOT","AGRWTH","M","2016-03",0.8525362,
"USA","CPI","TOT","AGRWTH","M","2016-04",1.12511,
"USA","CPI","TOT","AGRWTH","M","2016-05",1.019323,
"USA","CPI","TOT","AGRWTH","M","2016-06",0.9973265,
"USA","CPI","TOT","AGRWTH","M","2016-07",0.8271388,
"USA","CPI","TOT","AGRWTH","M","2016-08",1.062875,
"USA","CPI","TOT","AGRWTH","M","2016-09",1.463784,
"USA","CPI","TOT","AGRWTH","M","2016-10",1.635988,
"USA","CPI","TOT","AGRWTH","M","2016-11",1.692537,
"USA","CPI","TOT","AGRWTH","M","2016-12",2.074622,
"USA","CPI","TOT","AGRWTH","M","2017-01",2.500042,
"USA","CPI","TOT","AGRWTH","M","2017-02",2.737958,
"USA","CPI","TOT","AGRWTH","M","2017-03",2.380612,
"USA","CPI","TOT","AGRWTH","M","2017-04",2.19969,
"USA","CPI","TOT","AGRWTH","M","2017-05",1.874878,
"USA","CPI","TOT","AGRWTH","M","2017-06",1.633488,
"USA","CPI","TOT","AGRWTH","M","2017-07",1.727978,
"USA","CPI","TOT","AGRWTH","M","2017-08",1.938974,
"USA","CPI","TOT","AGRWTH","M","2017-09",2.232964,
"USA","CPI","TOT","AGRWTH","M","2017-10",2.041129,
"USA","CPI","TOT","AGRWTH","M","2017-11",2.202583,
"USA","CPI","TOT","AGRWTH","M","2017-12",2.109082,
"USA","CPI","TOT","AGRWTH","M","2018-01",2.070508,
"USA","CPI","TOT","AGRWTH","M","2018-02",2.002745,
