DATE,FEDFUNDS
2013-02-01,0.15
2013-03-01,0.14
2013-04-01,0.15
2013-05-01,0.11
2013-06-01,0.09
2013-07-01,0.09
2013-08-01,0.08
2013-09-01,0.08
2013-10-01,0.09
2013-11-01,0.08
2013-12-01,0.09
2014-01-01,0.07
2014-02-01,0.07
2014-03-01,0.08
2014-04-01,0.09
2014-05-01,0.09
2014-06-01,0.10
2014-07-01,0.09
2014-08-01,0.09
2014-09-01,0.09
2014-10-01,0.09
2014-11-01,0.09
2014-12-01,0.12
2015-01-01,0.11
2015-02-01,0.11
2015-03-01,0.11
2015-04-01,0.12
2015-05-01,0.12
2015-06-01,0.13
2015-07-01,0.13
2015-08-01,0.14
2015-09-01,0.14
2015-10-01,0.12
2015-11-01,0.12
2015-12-01,0.24
2016-01-01,0.34
2016-02-01,0.38
2016-03-01,0.36
2016-04-01,0.37
2016-05-01,0.37
2016-06-01,0.38
2016-07-01,0.39
2016-08-01,0.40
2016-09-01,0.40
2016-10-01,0.40
2016-11-01,0.41
2016-12-01,0.54
2017-01-01,0.65
2017-02-01,0.66
2017-03-01,0.79
2017-04-01,0.90
2017-05-01,0.91
2017-06-01,1.04
2017-07-01,1.15
2017-08-01,1.16
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.30
2018-01-01,1.41
